Event,Slug,Script,Episode,What to review,Era,Region,Severity,Category,Anchor (narrator),Why this anchor,Doc voice M,Doc voice F,Anchor wpm,Word ceiling,Words,Est. minutes,Rendered minutes,Drift vs estimate (min),Gate,Perspectives,Perspective titles,Scenes,Rests,Documents read aloud,Voices in script,Cold open (the misconception it refuses),Close (last beat),Written before these rules existed,Chapters,File MB,Listen,Event page
Apartheid and Its End,apartheid,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,political,am_michael,"catastrophic political: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1727,13.44,14.02,0.58,clean,5,ANC and the Liberation Movement | Afrikaner Nationalist | Black Consciousness Movement | International Sanctions Movement | Truth and Reconciliation,5,6,1,F+M+N,"Nelson Mandela is remembered as a man of patience, not war. In December nineteen sixty one, the ANC's armed wing, Umkhonto we Sizwe, began attacking power stations and railway lines. Mandela had gone underground to help build it. It chose to begin on the sixteenth of December: the day white South Africans celebrated their own military victory, over the Zulu, at Blood River, in eighteen thirty eight. The symbolism was deliberate.","Mandela was inaugurated on the tenth of May, nineteen ninety four, at the Union Buildings in Pretoria. Forty six years earlier, the apartheid state had been administered from the same complex. The Truth and Reconciliation Commission later heard testimony from twenty one thousand victims and granted amnesty to fifteen hundred people who told the truth about what they had done. In nineteen ninety four, white South Africans, ten percent of the population, owned eighty seven percent of the land. By twenty twenty four, that number had barely moved.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.9,https://news.voidvision.org/audio/history/apartheid.mp3,https://news.voidvision.org/history/apartheid/
Apollo 11 and the Space Race,apollo-11-moon-landing,written,rendered,"gate: warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,critical,cultural,bm_daniel,cultural: warm and unhurried,am_michael,af_aoede,168.0,2335,1584,10.53,10.43,-0.1,warn H-10,5,American triumph | The Soviet programme | The domestic critique | The engineers | The Global South,4,5,3,F+M+N,"In the summer of nineteen sixty nine, a country that could not reliably integrate its own schools landed two men on the Moon. Both of those things were true in the same season, funded by the same government, reported in the same newspapers. This is usually told as a story about engineering. It is at least as much a story about what a country decides is worth doing first.","The last people left in nineteen seventy two. Nobody has been back. What stayed was less obvious than a flag. The integrated circuit found its first buyer at scale, and the industry that grew from that is the one you are probably listening to this on. And a photograph. On the way, someone pointed a camera back at the Earth, and it turned out to be small, and blue, and entirely surrounded by nothing. That picture became the emblem of the environmental movement. The most expensive journey ever made away from this planet is now best remembered for what it showed us when it looked back.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,9.6,https://news.voidvision.org/audio/history/apollo-11-moon-landing.mp3,https://news.voidvision.org/history/apollo-11-moon-landing/
Ashoka and the Maurya Empire,ashoka-maurya-empire,written,rendered,"gate: warn H-10; warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",ancient,,major,empire,bm_george,major empire: mid weight,bm_lewis,af_aoede,145.0,2015,1524,11.61,11.31,-0.3,warn H-10; warn H-10,5,Ashoka's own account | Kalinga | The Buddhist tradition | The Ambedkarite reading | The southern kingdoms,3,5,3,M+N,"Monuments are built by winners and they all say the same thing. I won. Here is the enemy under my feet. Here is the number of them. There is one that gives the number and then says the wrong thing afterwards. It was cut into rock faces across a subcontinent, in the reigning emperor's own voice, and as far as anybody has found, it is the first time in recorded history that a ruler used a public monument to say that a war he had won should not have been fought.","The treatise on informers and assassination was lost for most of two thousand years. A manuscript surfaced in southern India in nineteen oh five, which means that for centuries the edicts were the only surviving voice of that state, and the other half of the machinery was missing from the picture. When India became a republic it took its national emblem from the lions carved on top of one of Ashoka's pillars, and put the wheel from the same capital in the middle of the flag. The missions he sent south outlasted his own dynasty by more than two thousand years. The form of Buddhism they carried is still the majority religion of Sri Lanka. The rock is still on the cliff face. You can walk up to it and read the number.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,12,10.4,https://news.voidvision.org/audio/history/ashoka-maurya-empire.mp3,https://news.voidvision.org/history/ashoka-maurya-empire/
Columbus and the Columbian Exchange,columbian-exchange,written,rendered,predates the institutional-voice convention: a report or agency may be read in the F voice,early-modern,,catastrophic,political,am_michael,"catastrophic political: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1665,12.99,13.23,0.24,clean,5,Spanish Imperial | Taino / Indigenous Caribbean | Ecological / Biological | World-Systems / Capitalist Origins | African Diasporic,5,6,2,M+N,"Ninety percent of the people who lived in the Western Hemisphere in fourteen ninety two were dead within about a hundred years. Say that number out loud and most people picture soldiers, horses and steel. The record does not agree. Old World diseases, smallpox, measles, influenza, typhus, killed an estimated fifty six million people across the Americas by sixteen hundred. The pathogens moved faster than any army, or any rumor of one. They killed so many people, so fast, that the farmland they left behind grew back into forest, and the forest pulled enough carbon out of the air to show up in ice cores drilled in Antarctica today. That is not a metaphor. That is measured.","By fifteen forty eight, fewer than five hundred Taino are left on Hispaniola. A quarter of a million people, gone in fifty six years. But a two thousand eighteen genetic study found that modern Puerto Ricans carry, on average, fourteen percent Indigenous ancestry. It survived through the bodies of women who had no say in the matter. They were not asked. They were not erased either.",institutional-voice convention,14,12.1,https://news.voidvision.org/audio/history/columbian-exchange.mp3,https://news.voidvision.org/history/columbian-exchange/
Fall of the Western Roman Empire,fall-of-rome,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the institutional-voice convention: a report or agency may be read in the F voice",classical,,catastrophic,empire,am_michael,"catastrophic empire: dark, but not funereal",bm_daniel,af_aoede,140.0,1946,1687,13.15,13.75,0.6,clean,5,Late Roman / Imperial | Germanic Successor Kingdoms | Eastern Roman / Byzantine | Modern Historiographic Debate: Fall vs. Transformation | North African / Berber,5,6,1,M+N,"Say the fall of Rome and most people picture fire: legions broken, a city burning, the barbarians at the gates. On the day historians use to mark the end of the Western Roman Empire, there was no battle. No siege. No sack. A sixteen year old emperor surrendered without a fight, and the man who deposed him gave him a pension and a house on the Bay of Naples. The empire did not fall. It was retired.","Decades before Romulus surrendered, Emperor Honorius kept a pet hen at Ravenna. He had named her Roma. A messenger arrived to tell him Rome had perished. Honorius, by the account that survives, was relieved. He thought the man meant the hen.",H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.6,https://news.voidvision.org/audio/history/fall-of-rome.mp3,https://news.voidvision.org/history/fall-of-rome/
The 1918 Influenza Pandemic,spanish-flu-1918,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,disaster,bm_lewis,catastrophic disaster: the gravest voice,bm_george,af_aoede,146.0,2029,1582,11.94,12.28,0.34,clean,5,Wartime Governments and Censorship | Public Health and Medicine | Colonial and Global South Populations | Pacific and Indigenous Peoples | Epidemiology and Historical Memory,3,5,2,M+N,"You think of a flu season as dangerous for the very old, the very young, the already sick. In the autumn of nineteen eighteen, the age group that died in the greatest numbers was twenty to forty. Healthy adults, in the prime of life. Some of them coughed in the morning and were dead within a day, drowning in their own tissue. No ordinary influenza has ever done that.","New Zealand apologized to Samoa for the epidemic in two thousand and two, eighty four years after the Talune docked. The virus itself was reconstructed only once, from lung tissue frozen in the Alaskan permafrost since nineteen eighteen. The reconstructed genome sits, today, under maximum containment.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,12,11.3,https://news.voidvision.org/audio/history/spanish-flu-1918.mp3,https://news.voidvision.org/history/spanish-flu-1918/
The American Civil Rights Movement,civil-rights-movement,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,critical,political,bm_george,critical political: mid weight,bm_lewis,af_aoede,145.0,2015,1711,12.9,12.62,-0.28,clean,5,The movement | Black Power | White southern resistance | The federal government | The global view,4,5,1,F+M+N,"The story everybody gets is a tired woman on a bus. Rosa Parks was forty two, she was not unusually tired that day, and she was not the first. Nine months earlier a fifteen year old in the same city had refused the same thing on the same bus line. What made the first of December nineteen fifty five different was not the refusal. It was that the refusal had been waited for. Parks was the secretary of the local branch of the NAACP, the plan was already drafted, and the machine went off within hours.","Three acts of Congress, in sixty four, sixty five and sixty eight, ended legal segregation in twenty one states. What they did not touch is still measurable, in who owns a house, who holds wealth, and who is in prison, and the movement said so at the time. And the fifteen year old. Nine months before Rosa Parks, Claudette Colvin refused to move on the same bus line in the same city, and was dragged off and arrested for it. The organisation looked at her case, and at her, and decided to wait for a better one.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,11.6,https://news.voidvision.org/audio/history/civil-rights-movement.mp3,https://news.voidvision.org/history/civil-rights-movement/
The Armenian Genocide,armenian-genocide,written,rendered,"gate: warn H-10; warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",modern,,catastrophic,genocide,bm_lewis,catastrophic genocide: the gravest voice,bm_george,af_aoede,146.0,2029,1697,12.72,12.23,-0.49,warn H-10; warn H-10,5,The Ottoman government | The survivors and the diaspora | The witnesses | Genocide studies | The Convention,4,4,3,M+N,"Berlin, March nineteen twenty one. A young man walks up to a middle aged Turkish exile on a residential street, shoots him once in the head, and waits to be arrested. He is tried for murder in a German court. He does not deny doing it. The jury acquits him in two days. A law student in Poland read the transcript and could not get past one question. How is it that killing one man is a crime with a courtroom and a jury, and killing a million people has no name at all? He spent the next twenty three years building the word.","Between nineteen twenty and nineteen twenty two, Armenian operatives tracked down and killed the three men most responsible, in Berlin, in Tbilisi and in Rome. That is what justice looked like when there was no court. Turkey has denied that this was a genocide for over a century. Thirty four countries have formally recognised it. The word itself did not exist until nineteen forty four, which means that for twenty nine years the thing that had been done to the Armenians could only be described, never named. And the date on the calendar every year is not the day the killing began. It is the night two hundred and thirty five people were taken from their houses in one city, because they were the ones who might have organised an answer.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,11.2,https://news.voidvision.org/audio/history/armenian-genocide.mp3,https://news.voidvision.org/history/armenian-genocide/
The Atomic Bombings of Hiroshima and Nagasaki,hiroshima-nagasaki,written,rendered,"gate: warn H-10; warn H-10; warn H-10; warn H-10 // predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",contemporary,,catastrophic,war,bm_lewis,catastrophic war: the gravest voice,bm_george,af_aoede,146.0,2029,1949,14.45,14.17,-0.28,warn H-10; warn H-10; warn H-10; warn H-10,5,The American case | The hibakusha | The scientists | The revisionists | The Korean dead,4,6,2,M+N,"It is almost always posed as two options. Drop the bomb, or invade. A quarter of a million American dead, or a hundred and forty thousand Japanese ones. The documents from that summer have more than two things in them. There is an invasion plan. There are two bombs. There is a Soviet army about to enter the war, and there is one word about the emperor that nobody would say out loud until after it was over. The argument since has not been about what happened. It has been about which of those four was doing the work.","The survivors have been medically tracked for eighty years, first by an American commission and then by a joint foundation, and almost everything the world knows about long term radiation exposure in humans comes from their bodies. About a hundred and six thousand of them were still alive in twenty twenty four. Their average age is over eighty five. One building was left standing near the hypocenter with its dome frame intact, and Japan argued for decades about whether to pull it down. It is a World Heritage site now. And in a case in the museum there is a wristwatch that stopped at fifteen minutes past eight.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,13,13.0,https://news.voidvision.org/audio/history/hiroshima-nagasaki.mp3,https://news.voidvision.org/history/hiroshima-nagasaki/
The Black Death,black-death,written,rendered,"predates H-11: check any read-aloud quote the record marks attributed, paraphrased, secondhand or written in someone else's voice // predates the unnamed-witness rule: check any quote from a speaker the record does not name says so aloud // predates the per-voice budget: its length was sized against one average rate, not its own anchor // predates the institutional-voice convention: a report or agency may be read in the F voice",medieval,,catastrophic,disaster,bm_lewis,catastrophic disaster: the gravest voice,bm_george,af_aoede,146.0,2029,1848,13.76,14.03,0.27,clean,5,The Christian west | Islamic medicine | The Jewish communities | The peasants and laborers | The Mongol road,5,7,2,M+N,"On the fourteenth of February, thirteen forty nine, Strasbourg took its Jewish community to the cemetery and burned two thousand people alive. The plague had not reached Strasbourg yet. It arrived months later. That same week the council divided the dead's property among the citizens and cancelled the debts the citizens owed them. The Black Death is remembered as the moment Europe lost its mind. A panic does not keep a ledger.","Venice set forty days of isolation and called it the quarantina. The practice is still named after the number. England did not have its people back until the sixteenth century. And in Nuremberg, the council cleared the ground where the Jewish quarter had been and built a marketplace on it. The market is still there. It is called the Hauptmarkt.",per-voice length budget (H-07); H-11 paraphrase rule; H-11 secondhand + impersonated voice; unnamed-witness disclosure rule; institutional-voice convention,14,12.9,https://news.voidvision.org/audio/history/black-death.mp3,https://news.voidvision.org/history/black-death/
